Artist,Artist country,Artist genres,Artist sub genres,Artist uuid,Artist url,Career stage,Growth level,Gender,Type,Birth date,First release,Latest release,Total ISRC,Latest concert,Total concerts (last 3y),Upcoming concert,Soundcharts score Total,Soundcharts score Change, Soundcharts score Change %,Spotify followers Total,Spotify followers Change,Spotify followers Change %,Spotify monthly listeners Total,Spotify monthly listeners Change,Spotify monthly listeners Change %,Spotify popularity Total,Spotify popularity Change,Spotify popularity Change %,Tidal popularity Total,Tidal popularity Change,Tidal popularity Change %,YouTube subscribers Total,YouTube subscribers Change,YouTube subscribers Change %,YouTube daily views Total,YouTube daily views Change,YouTube daily views Change %,Youtube channel views Total,Youtube channel views Change,Youtube channel views Change %,Youtube posts,Youtube posts Change,Youtube posts Change %,Instagram followers Total,Instagram followers Change,Instagram followers Change %,Instagram posts Total,Instagram posts Change,Instagram posts Change %,Instagram following Total,Instagram following Change,Instagram following Change %,TikTok followers Total,TikTok followers Change,TikTok followers Change %,Tiktok likes Total,Tiktok likes Change,Tiktok likes Change %,Tiktok following Total,Tiktok following Change,Tiktok following Change %,Airplay plays Total,Airplay plays Change,Airplay plays Change %,Pandora monthly listeners Total,Pandora monthly listeners Change,Pandora monthly listeners Change %,Deezer fans Total,Deezer fans Change,Deezer fans Change %,Deezer popularity Total,Deezer popularity Change,Deezer popularity Change %,Amazon followers Total,Amazon followers Change,Amazon followers Change %,Facebook likes Total,Facebook likes Change,Facebook likes Change %,X followers Total,X followers Change,X followers Change %,X likes Total,X likes Change,X likes Change %,X posts Total,X posts Change,X posts Change %,X following Total,X following Change,X following Change %,Soundcloud followers Total,Soundcloud followers Change,Soundcloud followers Change %,Soundcloud posts Total,Soundcloud posts Change,Soundcloud posts Change %,Soundcloud following Total,Soundcloud following Change,Soundcloud following Change %,Songkick Fans Total,Songkick Fans Change,Songkick Fans Change %,Bandsintown followers Total,Bandsintown followers Change,Bandsintown followers Change %,Genius followers Total,Genius followers Change,Genius followers Change %,Netease followers Total,Netease followers Change,Netease followers Change %,Kkbox followers Total,Kkbox followers Change,Kkbox followers Change %,Weibo followers Total,Weibo followers Change,Weibo followers Change %,Weibo likes Total,Weibo likes Change,Weibo likes Change %,Weibo posts Total,Weibo posts Change,Weibo posts Change %,Weibo following Total,Weibo following Change,Weibo following Change %,Anghami followers Total,Anghami followers Change,Anghami followers Change %,Anghami plays Total,Anghami plays Change,Anghami plays Change %,Boomplay favorites Total,Boomplay favorites Change,Boomplay favorites Change %,Audiomack followers Total,Audiomack followers Change,Audiomack followers Change %,Audiomack plays Total,Audiomack plays Change,Audiomack plays Change %,Gaana favorites Total,Gaana favorites Change,Gaana favorites Change %,Jiosaavn followers Total,Jiosaavn followers Change,Jiosaavn followers Change %,Jiosaavn listeners Total,Jiosaavn listeners Change,Jiosaavn listeners Change %,Line music followers Total,Line music followers Change,Line music followers Change %,Melon Likes Total,Melon Likes Change,Melon Likes Change %,QQ Music Fans Total,QQ Music Fans Change,QQ Music Fans Change %,Yandex followers Total,Yandex followers Change,Yandex followers Change %,Yandex monthly listeners Total,Yandex monthly listeners Change,Yandex monthly listeners Change %,Vk fans Total,Vk fans Change,Vk fans Change %,Mixcloud followers Total,Mixcloud followers Change,Mixcloud followers Change %,Mixcloud following Total,Mixcloud following Change,Mixcloud following Change %,Twitch followers Total,Twitch followers Change,Twitch followers Change %,Last.fm listeners Total,Last.fm listeners Change,Last.fm listeners Change %,Patreon followers Total,Patreon followers Change,Patreon followers Change %,Patreon posts Total,Patreon posts Change,Patreon posts Change %,Unnamed: 188,Artist_Type,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status
Verifiziert,Austria,Hip Hop,"Hip-Hop/Rap, hip hop",a6d258aa-fb29-11e9-9f90-801844edfa71,https://app.soundcharts.com/app/artist/verifiziert/overview,long_tail,average_growth,female,person,4/25/96,10/27/19,11/28/25,87,8/30/25,29,1/12/26,41903,-1097,-2.55,37856.0,88.0,0.23,174039,-138001,-44.23,44,-2,-4.35,27.0,0.0,0.0,9180.0,10.0,0.11,,,,1544777.0,8637.0,0.56,38.0,0.0,0.0,33197.0,-237.0,-0.71,252.0,0.0,0.0,1138.0,6.0,0.53,17800.0,200.0,1.14,822600.0,1500.0,0.18,498.0,10.0,2.05,2503.0,78.0,3.22,,,,1145.0,56.0,5.14,35.0,-3.0,-7.89,515.0,10.0,1.98,,,,,,,,,,,,,,,,254.0,0.0,0.0,,,,45.0,0.0,0.0,7545.0,1.0,0.01,3033.0,46.0,1.54,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0,0.0,84.0,1.0,1.2,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1SF4jakSq8kI38MYjFdaJG,https://www.instagram.com/Verifiziert/,Verifiziert,https://www.tiktok.com/@Verifiziert,Verifiziert,https://www.youtube.com/@Verifiziert,,https://soundcloud.com/verifiziert-music,verifiziert-music,https://twitter.com/verifiziert,verifiziert,,,"spotify,soundcloud+musicbrainz"
Zui,Poland,"Pop, Hip Hop","Pop, Hip-Hop/Rap, pop, mainstream pop",11e81bc2-5700-1ff8-adbc-a0369fe50396,https://app.soundcharts.com/app/artist/zui/overview,long_tail,average_growth,female,person,,7/12/16,11/25/25,24,1/12/26,0,1/12/26,38367,367,0.97,5123.0,77.0,1.53,173757,16756,10.67,39,2,5.41,26.0,0.0,0.0,10200.0,0.0,0.0,,,,1785847.0,0.0,0.0,7.0,0.0,0.0,50660.0,-203.0,-0.4,24.0,-1.0,-4.0,1549.0,-2.0,-0.13,17400.0,0.0,0.0,397400.0,1000.0,0.25,348.0,5.0,1.46,,,,,,,,,,,,,15.0,0.0,0.0,28477.0,-40.0,-0.14,,,,,,,,,,,,,59.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1p9gb5cprkEk0iZShbcRas,https://www.instagram.com/zuigram/,zuigram,https://www.tiktok.com/@zuigram,zuigram,https://www.youtube.com/@zuigram,,https://soundcloud.com/wyluzui,wyluzui,https://twitter.com/zui,zui,https://www.facebook.com/therealzui,,"spotify,soundcloud+musicbrainz"
Sneaks,United States,"Hip Hop, Alternative, Rock, Pop","Hip-Hop/Rap, Alternative, garage psych, bay area hip hop, dc indie, indie pop, pop",11e81bc8-5806-84ea-9cf2-a0369fe50396,https://app.soundcharts.com/app/artist/sneaks-1/overview,mid_level,average_growth,female,person,,9/9/16,6/6/25,60,7/6/24,6,1/12/26,51280,280,0.55,48577.0,669.0,1.4,173103,44676,34.79,39,2,5.41,50.0,0.0,0.0,52.0,0.0,0.0,602.0,0.0,0.0,7413.0,181.0,2.5,5.0,0.0,0.0,5264.0,27.0,0.52,231.0,0.0,0.0,342.0,-1.0,-0.29,,,,,,,,,,744.0,-11.0,-1.46,244.0,131.0,115.93,1232.0,55.0,4.67,29.0,4.0,16.0,136.0,8.0,6.25,5791.0,-6.0,-0.1,39440.0,-44.0,-0.11,7767.0,-13.0,-0.17,62589.0,-11.0,-0.02,5469.0,-12.0,-0.22,745.0,7.0,0.95,47.0,0.0,0.0,,,,49265.0,104.0,0.21,12242.0,149.0,1.23,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169255.0,1923.0,1.15,,,,,,,,,40iUcsx6LWJ0DEPryPmU30,https://www.instagram.com/sneaks_zia/,sneaks_zia,https://www.tiktok.com/@sneaks_zia,sneaks_zia,https://www.youtube.com/@sneaks_zia,,https://soundcloud.com/eric-melovich,eric-melovich,https://twitter.com/sneaks_zia,sneaks_zia,https://www.facebook.com/sneaksweb,,"spotify,soundcloud+musicbrainz"
Queralt Lahoz,Spain,"Pop, Hip Hop","Pop, Hip-Hop/Rap, hip hop",ea0f0f44-0b71-11e9-b458-549f35161576,https://app.soundcharts.com/app/artist/queralt-lahoz/overview,long_tail,average_growth,female,person,11/17/91,2/23/17,11/27/25,61,7/24/25,39,1/12/26,46220,2220,5.05,45151.0,392.0,0.88,172859,13504,8.47,42,0,0.0,41.0,10.0,32.26,14000.0,100.0,0.72,6872.0,1383.0,25.2,4404831.0,186142.0,4.41,53.0,0.0,0.0,56762.0,-48.0,-0.08,93.0,0.0,0.0,1165.0,17.0,1.48,5728.0,35.0,0.61,61000.0,600.0,0.99,153.0,14.0,10.07,1411.0,3.0,0.21,,,,1068.0,47.0,4.6,28.0,2.0,7.69,521.0,14.0,2.76,4127.0,5.0,0.12,1205.0,-2.0,-0.17,653.0,-9.0,-1.36,397.0,-5.0,-1.24,86.0,0.0,0.0,220.0,6.0,2.8,40.0,0.0,0.0,,,,10041.0,63.0,0.63,4090.0,136.0,3.44,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,716.0,0.0,0.0,,,,6.0,0.0,0.0,229.0,6.0,2.69,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,15564.0,267.0,1.75,,,,,,,,,5njCmi440o0ft013pOw9W5,https://www.instagram.com/queralt_lahoz/,queralt_lahoz,https://www.tiktok.com/@queralt_lahoz,queralt_lahoz,https://www.youtube.com/@queralt_lahoz,,https://soundcloud.com/queraltlahoz,queraltlahoz,https://twitter.com/queraltlahoz,queraltlahoz,,,"spotify,soundcloud+musicbrainz"
Evelina,Finland,"Pop, Electro, Hip Hop","Pop, finnish dance pop, finnish pop, finnish hip hop",11e83fe2-df96-1e50-961e-aa1c026db3d8,https://app.soundcharts.com/app/artist/evelina-2/overview,long_tail,average_growth,female,person,5/27/95,5/22/15,10/17/25,69,12/5/25,28,1/12/26,46320,320,0.7,90136.0,55.0,0.06,172595,-36647,-17.51,44,-1,-2.22,31.0,0.0,0.0,1200000.0,0.0,0.0,4337.0,7.0,0.16,119824235.0,-1794999.0,-1.48,307.0,-27.0,-8.08,463355.0,-534.0,-0.12,2827.0,0.0,0.0,436.0,0.0,0.0,48800.0,-100.0,-0.2,963100.0,4100.0,0.43,140.0,1.0,0.72,3382.0,74.0,2.24,,,,24184.0,3.0,0.01,0.0,0.0,0.0,26.0,2.0,8.33,31717.0,-80.0,-0.25,177.0,0.0,0.0,50.0,0.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,121.0,0.0,0.0,63.0,0.0,0.0,,,,8295.0,1.0,0.01,4608.0,25.0,0.55,3.0,0.0,0.0,,,,2.0,0.0,0.0,,,,,,,,,,,,,46.0,0.0,0.0,8144.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,243.0,1.0,0.41,15.0,0.0,0.0,85.0,22.0,34.92,,,,,,,,,,,,,,,,,,,,,,,,7u0SoH9RFeQ5nHEBsVPVtl,https://www.instagram.com/evelinavirallinen/,evelinavirallinen,https://www.tiktok.com/@oonevelina,oonevelina,https://www.youtube.com/@evelinavirallinen,,https://soundcloud.com/evelina-697870289,evelina-697870289,https://twitter.com/evelina,evelina,https://www.facebook.com/evelinavirallinen,http://evelina.fi/,"spotify,soundcloud+musicbrainz"
Sanni,Finland,"Pop, Electro, Hip Hop","Pop, finnish dance pop, finnish pop, finnish hip hop",11e81bcf-23ad-6158-ad75-a0369fe50396,https://app.soundcharts.com/app/artist/sanni/overview,long_tail,average_growth,,,,4/5/13,11/8/24,101,12/13/25,12,1/12/26,46913,913,1.98,142007.0,-277.0,-0.19,171868,-7227,-4.04,44,1,2.33,32.0,0.0,0.0,62200.0,0.0,0.0,,,,63511094.0,0.0,0.0,87.0,0.0,0.0,339125.0,-651.0,-0.19,2998.0,7.0,0.23,950.0,21.0,2.26,56800.0,-100.0,-0.18,1200000.0,0.0,0.0,147.0,4.0,2.8,1501.0,-92.0,-5.78,,,,16367.0,8.0,0.05,27.0,0.0,0.0,119.0,1.0,0.85,92815.0,-130.0,-0.14,4158.0,-4.0,-0.1,1452.0,-1.0,-0.07,191.0,0.0,0.0,32.0,0.0,0.0,88.0,2.0,2.33,82.0,0.0,0.0,,,,13632.0,1.0,0.01,6295.0,27.0,0.43,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,0.0,0.0,214.0,2.0,0.94,204.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4KbUzTS1NC8GHIe9LkwIPS,https://www.instagram.com/sannivirallinen/,sannivirallinen,https://www.tiktok.com/@sannivirallinen,sannivirallinen,https://www.youtube.com/@sannivirallinen,,https://soundcloud.com/sanni_official,sanni_official,https://twitter.com/sannivirallinen,sannivirallinen,https://www.facebook.com/sannivirallinen,,"spotify,soundcloud+musicbrainz"
Melissa M,France,Hip Hop,Hip-Hop/Rap,11e81bd1-4fe6-8a72-bc33-a0369fe50396,https://app.soundcharts.com/app/artist/melissa-m/overview,long_tail,average_growth,female,person,8/21/85,4/23/07,8/30/25,62,1/30/10,0,1/12/26,37509,509,1.38,10591.0,264.0,2.56,171832,-6296,-3.53,37,0,0.0,17.0,0.0,0.0,14800.0,0.0,0.0,15715.0,-140.0,-0.88,18231986.0,0.0,0.0,12.0,0.0,0.0,284.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,,,,,,,,,,482.0,40.0,9.05,,,,17362.0,73.0,0.42,47.0,-4.0,-7.84,385.0,7.0,1.85,,,,2085.0,8.0,0.39,,,,47.0,0.0,0.0,46.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,100.0,,,,1116.0,1.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,2310.0,0.0,0.0,158605.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.0,0.0,569.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,78udmCDNaDu5jqfVnBqwia,https://www.instagram.com/melissam/,melissam,https://www.tiktok.com/@melissam,melissam,https://www.youtube.com/@melissam,,https://soundcloud.com/melissa-m-388698054,melissa-m-388698054,https://twitter.com/melissam,melissam,https://www.facebook.com/MelissaMOfficiel,,"spotify,soundcloud+musicbrainz"
Res,United States,"R&B, Hip Hop","neo soul, Hip-Hop/Rap",0ce60856-c5a9-11e8-9b38-549f35141000,https://app.soundcharts.com/app/artist/res-7/overview,long_tail,average_growth,female,person,1/1/00,1/1/01,6/13/25,142,5/8/25,12,3/26/26,21502,-498,-2.26,52683.0,1541.0,3.01,171374,21115,14.05,43,1,2.38,,,,5290.0,100.0,1.93,1501.0,239.0,18.94,1111780.0,22401.0,2.06,10.0,0.0,0.0,20260.0,135.0,0.67,121.0,3.0,2.54,1729.0,-229.0,-11.7,88.0,2.0,2.33,104.0,8.0,8.33,26.0,0.0,0.0,286.0,14.0,5.15,,,,1617.0,19.0,1.19,28.0,6.0,27.27,1043.0,41.0,4.09,12350.0,-2.0,-0.02,,,,,,,,,,,,,2904.0,2.0,0.07,22.0,0.0,0.0,4.0,0.0,0.0,20777.0,177.0,0.86,15840.0,152.0,0.97,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,52.0,0.0,0.0,2403.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.0,1.85,170.0,1.0,0.59,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,7mx6iGwPF157vXwYcl1DQ3,https://www.instagram.com/res/,res,https://www.tiktok.com/@res,res,https://www.youtube.com/@res,,https://soundcloud.com/resoun-michiuo,resoun-michiuo,https://twitter.com/res,res,,http://the1res.com/,"spotify,soundcloud+musicbrainz"
Sara Hebe,Argentina,"Hip Hop, Pop","rap latina, argentine indie, indie pop, pop",11e81bc6-aeab-3798-8a2f-a0369fe50396,https://app.soundcharts.com/app/artist/sara-hebe/overview,mid_level,average_growth,female,person,7/9/83,10/20/14,12/26/25,165,10/11/25,23,1/12/26,49689,1689,3.52,136737.0,317.0,0.23,170854,6622,4.03,43,1,2.38,46.0,8.0,21.05,78900.0,200.0,0.25,13195.0,1049.0,8.64,36562333.0,0.0,0.0,97.0,0.0,0.0,171427.0,-40.0,-0.02,252.0,-1.0,-0.4,2070.0,10.0,0.49,1536.0,2.0,0.13,861.0,1.0,0.12,26.0,0.0,0.0,1196.0,51.0,4.45,25.0,-10.0,-28.57,5788.0,101.0,1.78,0.0,0.0,0.0,455.0,12.0,2.71,97747.0,-29.0,-0.03,25292.0,-23.0,-0.09,10145.0,-3.0,-0.03,12243.0,21.0,0.17,200.0,0.0,0.0,5394.0,6.0,0.11,23.0,0.0,0.0,,,,14298.0,46.0,0.32,9234.0,77.0,0.84,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,0.0,15.0,0.0,0.0,9.0,-3.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,4pFUriuYqqAmBCvqF9o6LW,https://www.instagram.com/sara_hebe/,sara_hebe,https://www.tiktok.com/@sara_hebe,sara_hebe,https://www.youtube.com/@sara_hebe,,https://soundcloud.com/sarahebeofficial,sarahebeofficial,https://twitter.com/sarahebeok,sarahebeok,https://www.facebook.com/pages/SARA-HEBE/174002315954948,http://sarahebe.com/,"spotify,soundcloud+musicbrainz"
Louve,France,Hip Hop,Hip-Hop/Rap,84d24d4a-ecc5-11e9-ada7-549f35141000,https://app.soundcharts.com/app/artist/louve/overview,long_tail,average_growth,female,person,,2/26/21,10/10/25,16,1/12/26,0,1/12/26,39695,1695,4.46,3432.0,113.0,3.4,170460,-66517,-28.07,40,-2,-4.76,33.0,0.0,0.0,941.0,7.0,0.75,,,,148743.0,1534.0,1.04,19.0,0.0,0.0,19756.0,33.0,0.17,82.0,4.0,5.13,392.0,4.0,1.03,2987.0,1.0,0.03,182400.0,100.0,0.05,232.0,1.0,0.43,367.0,34.0,10.21,,,,837.0,20.0,2.45,33.0,-4.0,-10.81,17.0,0.0,0.0,849.0,6.0,0.71,,,,,,,,,,,,,32.0,1.0,3.23,,,,15.0,0.0,0.0,,,,590.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,74.0,0.0,0.0,596.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528.0,104.0,3.04,,,,,,,,,3x5sBirhNbWXVt1DwivDOI,https://www.instagram.com/ultralouve/,ultralouve,https://www.tiktok.com/@ultralouve,ultralouve,https://www.youtube.com/@ultralouve,,https://soundcloud.com/lovesprofile,lovesprofile,https://twitter.com/louve,louve,https://www.facebook.com/ultralouve,,"spotify,soundcloud+musicbrainz"
Stony,Guadeloupe,"Others, Hip Hop, Latin, Pop","Worldwide, Hip-Hop/Rap, kizomba, zouk riddim",11e81bd3-160d-2610-8773-a0369fe50396,https://app.soundcharts.com/app/artist/stony/overview,long_tail,average_growth,female,person,,12/12/11,12/12/25,239,12/1/23,2,1/12/26,27272,2272,9.09,66374.0,303.0,0.46,170299,-11041,-6.09,41,0,0.0,,,,130000.0,0.0,0.0,,,,39958646.0,263554.0,0.66,52.0,0.0,0.0,288510.0,-213.0,-0.07,29.0,4.0,16.0,727.0,1.0,0.14,59500.0,400.0,0.68,657200.0,13200.0,2.05,142.0,4.0,2.9,6849.0,190.0,2.85,717.0,2.0,0.28,63929.0,642.0,1.01,,,,1167.0,33.0,2.91,145463.0,-94.0,-0.06,41650.0,8.0,0.02,5247.0,-2.0,-0.04,38326.0,-5.0,-0.01,1412.0,-1.0,-0.07,440.0,1.0,0.23,38.0,0.0,0.0,,,,7994.0,12.0,0.15,2798.0,60.0,2.19,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,926.0,0.0,0.0,88807.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0.0,0.0,79.0,1.0,1.28,2057.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4LvVcNzvLx1zxcr5Jz9geT,https://www.instagram.com/stony_musik/,stony_musik,https://www.tiktok.com/@stony_musik,stony_musik,https://www.youtube.com/@stony_musik,,https://soundcloud.com/stempl-90176675,stempl-90176675,https://twitter.com/Stony_Musik,Stony_Musik,https://www.facebook.com/Officiel.StonyMusik,,"spotify,soundcloud+musicbrainz"
Saah,Austria,"Instrumental, Hip Hop, Classical","instrumental, contemporary hip hop, chamber music",6431d03c-4e1f-4fdf-aed1-d44236c96ecf,https://app.soundcharts.com/app/artist/saah-2/overview,long_tail,average_growth,female,person,,5/26/17,10/14/25,48,1/12/26,0,1/12/26,39402,402,1.03,4250.0,90.0,2.16,169869,-17366,-9.27,44,0,0.0,32.0,0.0,0.0,38.0,3.0,8.57,,,,27203.0,4368.0,19.13,19.0,0.0,0.0,3675.0,-17.0,-0.46,147.0,0.0,0.0,1395.0,34.0,2.5,89.0,0.0,0.0,668.0,0.0,0.0,43.0,0.0,0.0,8.0,0.0,0.0,668.0,63.0,10.41,,,,,,,10.0,1.0,11.11,188.0,0.0,0.0,,,,,,,,,,,,,2.0,0.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,1.0,14.29,158.0,1.0,0.64,,,,,,,,,,,,,,,,10.0,1.0,11.11,151.0,1.0,0.67,3800.0,0.0,0.0,,,,,,,,,,,,,41538.0,471.0,1.15,,,,,,,,,7MxGWmiAbqjNOGmj23wbWf,https://www.instagram.com/saah/,saah,https://www.tiktok.com/@saah,saah,https://www.youtube.com/@saah,,https://soundcloud.com/saahofficial,saahofficial,https://twitter.com/saah,saah,https://www.facebook.com/SAAH-104458347635744,,"spotify,soundcloud+musicbrainz"
Jody Watley,United States,"R&B, Electro, Pop, Hip Hop, American","urban contemporary, new jack swing, quiet storm, Dance, funk, new wave pop, disco, freestyle, post-disco, minneapolis sound, contemporary r&b, rnb, pop, mainstream pop, soul",11e81bbb-4f4a-6d1a-874a-a0369fe50396,https://app.soundcharts.com/app/artist/jody-watley/overview,mid_level,average_growth,female,person,1/30/59,1/1/87,7/9/25,406,10/19/24,5,1/12/26,57527,527,0.92,337270.0,1113.0,0.33,168053,-154,-0.09,40,0,0.0,66.0,0.0,0.0,100000.0,0.0,0.0,18393.0,1471.0,8.69,56257373.0,0.0,0.0,706.0,9.0,1.29,196084.0,2297.0,1.19,7871.0,35.0,0.45,508.0,2.0,0.4,,,,,,,,,,2903.0,-97.0,-3.23,135138.0,-2128.0,-1.55,7822.0,21.0,0.27,27.0,2.0,8.0,11973.0,168.0,1.42,616297.0,324.0,0.05,117962.0,79.0,0.07,107983.0,902.0,0.84,48487.0,68.0,0.14,1305.0,1.0,0.08,84386.0,0.0,0.0,204.0,0.0,0.0,95.0,0.0,0.0,43016.0,50.0,0.12,49902.0,210.0,0.42,6.0,0.0,0.0,,,,33.0,0.0,0.0,,,,,,,,,,,,,801.0,0.0,0.0,20743.0,0.0,0.0,1.0,0.0,100.0,57.0,0.0,0.0,108.0,0.0,0.0,,,,,,,,,,278.0,1.0,0.36,,,,533.0,6.0,1.14,100.0,1.0,1.01,820.0,0.0,0.0,,,,50.0,1.0,2.04,50.0,0.0,0.0,,,,184552.0,520.0,0.28,,,,,,,,,71aKjsWKYqASAffyIQaocZ,https://www.instagram.com/jodywatley/,jodywatley,https://www.tiktok.com/@jodywatley,jodywatley,https://www.youtube.com/@jodywatley,,https://soundcloud.com/jodywatley,jodywatley,https://twitter.com/jodywatley,jodywatley,https://www.facebook.com/JodyWatleyOfficial,http://jodywatley.net/,"spotify,soundcloud+musicbrainz"
Zheani,Australia,"Hip Hop, Alternative, Electro","Hip-Hop/Rap, Alternative, dark trap, electronic, hip hop, trap",6f20dd28-c254-11e8-98cc-525400009efb,https://app.soundcharts.com/app/artist/zheani/overview,mid_level,average_growth,female,person,4/26/93,9/20/17,11/21/25,125,10/15/24,70,1/12/26,53273,273,0.52,185056.0,786.0,0.43,167774,-88795,-34.61,47,-1,-2.08,56.0,0.0,0.0,163000.0,0.0,0.0,,,,31109117.0,319304.0,1.04,33.0,0.0,0.0,232064.0,-138.0,-0.06,38.0,0.0,0.0,705.0,0.0,0.0,95600.0,600.0,0.63,835400.0,3700.0,0.44,85.0,0.0,0.0,637.0,203.0,46.77,1291.0,-452.0,-25.93,4556.0,130.0,2.94,34.0,0.0,0.0,1888.0,29.0,1.56,14567.0,-13.0,-0.09,36383.0,-124.0,-0.34,1803.0,-1.0,-0.06,1008.0,1.0,0.1,91.0,0.0,0.0,17130.0,53.0,0.31,94.0,0.0,0.0,51.0,0.0,0.0,27337.0,120.0,0.44,17387.0,246.0,1.44,128.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,385.0,0.0,0.0,,,,376.0,8.0,2.17,4577.0,207.0,4.74,,,,,,,,,,,,,,,,192.0,3.0,1.59,2236.0,20.0,0.9,4345.0,-478.0,-9.91,,,,,,,,,,,,,165239.0,2876.0,1.77,2052.0,39.0,1.94,162.0,1.0,0.62,,,75xNYf2GU5wtQqBrd74SlY,https://www.instagram.com/askulloffoxes/,askulloffoxes,https://www.tiktok.com/@askulloffoxes,askulloffoxes,https://www.youtube.com/@askulloffoxes,,https://soundcloud.com/zheani,zheani,https://twitter.com/askulloffoxes,askulloffoxes,https://www.facebook.com/zheanisparkes,https://zheani.com/,"spotify,soundcloud+musicbrainz"
UA,Japan,"Pop, Electro, Hip Hop, Folk, Asian, Rock","Pop, Dance, Hip-Hop/Rap, japanese singer-songwriter, shibuya-kei, j-rock, mainstream pop, asian pop",11e81bd3-27fa-bd74-9b46-a0369fe50396,https://app.soundcharts.com/app/artist/ua/overview,long_tail,average_growth,female,person,3/11/72,6/21/95,12/13/25,286,9/28/19,0,1/12/26,47402,402,0.86,190839.0,1090.0,0.57,166416,-1326,-0.79,42,0,0.0,28.0,0.0,0.0,73500.0,600.0,0.82,15805.0,-507.0,-3.11,31891376.0,339089.0,1.07,115.0,6.0,5.5,92131.0,456.0,0.5,733.0,6.0,0.83,742.0,24.0,3.34,,,,,,,,,,480.0,8.0,1.69,,,,148.0,0.0,0.0,11.0,-4.0,-26.67,15250.0,294.0,1.97,21317.0,173.0,0.82,14179.0,132.0,0.94,2603.0,15.0,0.58,2287.0,29.0,1.28,58.0,0.0,0.0,,,,,,,,,,4101.0,1.0,0.02,4806.0,81.0,1.71,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,10257.0,83.0,0.82,127.0,0.0,0.0,5253.0,34.0,0.65,12.0,0.0,0.0,13.0,0.0,0.0,,,,,,,,,,,,,51472.0,470.0,0.92,,,,,,,,,43XHGbWVe5qKVCuI0HMep0,https://www.instagram.com/ua/,ua,https://www.tiktok.com/@ua,ua,https://www.youtube.com/@ua,,https://soundcloud.com/user-336707926,user-336707926,https://twitter.com/UA__KA,UA__KA,,http://www.uauaua.jp/,"spotify,soundcloud+musicbrainz"
